item_code,item_name,uom,item_group,description
VT260041,Que đè lưỡi gỗ Tanaphar,Que,Vật tư tiêu hao,Hãng SX: Tanaphar/ Việt Nam | Nước SX: Việt Nam
HC18099,03002721122 GGT G2-400T COBAS C/INTEGRA,test,Hóa chất,
VT230073,3MTM ComplyTM Steam Indicator Tape,Cuộn,Vật tư tiêu hao,Hãng SX: 3M/Canada
HC0171,ACID WASH (2X1.8L),Hộp,Hóa chất,
HC18117,ACID WASH SOLUTION,Hộp,Hóa chất,
NT0303,Adaptor máy đo huyết áp Omron/Philippines,Chiếc,Vật tư tiêu hao,Hãng SX: Omron/Philippines
HC18017,AFP CS GEN2.1 ELEC,Hộp,Hóa chất,
HC0070,AFP CS GEN2.1 ELEC,Hộp,Hóa chất,
HC18016,AFP RP GEN1.1ELEC,test,Hóa chất,
HC0069,AFP RP GEN1.1ELEC,test,Hóa chất,
HC0157,ALB-T 100T COBAS C INT.,test,Hóa chất,
HC18103,ALB-T 100T COBAS C INT.,test,Hóa chất,
2020HC15,Albumin,Hộp,Hóa chất,
2021HC08,Albumin,Hộp,Hóa chất,
HC18141,Albumin,Hộp,Hóa chất,
HC0002,Albumin,Hộp,Hóa chất,
NT0242,ALFASEPT HANDGEL,Lít,Vật tư tiêu hao,Hãng SX: Việt Nam
NT0040,Alfasept Handrub ( Chai 500ml),Lít,Vật tư tiêu hao,Hãng SX: Việt Nam
HC18093,ALP IFCC G2 S 200T COBAS C,test,Hóa chất,
HC0147,ALP IFCC G2 S 200T COBAS C,test,Hóa chất,
HC0005,Alpha-Amylase,Hộp,Hóa chất,
2020HC17,ALT,Hộp,Hóa chất,
HC18143,ALT,Hộp,Hóa chất,
HC0004,ALT,Hộp,Hóa chất,
2021HC10,ALT,Hộp,Hóa chất,
HC0148,"ALTL, 500T COBAS C/INTEGRA",test,Hóa chất,
HC18094,"ALTL, 500T COBAS C/INTEGRA",test,Hóa chất,
HC0149,AMY-P 200T COBAS C/INT,test,Hóa chất,
HC18095,AMY-P 200T COBAS C/INT,test,Hóa chất,
2020HC85,Anti- B,Lọ,Hóa chất,
HC0199,Anti- B,Lọ,Hóa chất,
HC18211,Anti- B,Lọ,Hóa chất,
2021HC154,Anti- B,Lọ,Hóa chất,
HC18213,Anti- D,Lọ,Hóa chất,
2021HC155,Anti- D (Anti-Rh),Lọ,Hóa chất,
2020HC86,Anti- HCV,test,Hóa chất,
HC18212,Anti- HCV,test,Hóa chất,
2020HC87,Anti-D (Anti-Rh),Lọ,Hóa chất,
HC0092,ANTI-HAV IGM ELEC,test,Hóa chất,
HC18039,ANTI-HAV IGM ELEC,test,Hóa chất,
HC0102,ANTI-HBC,test,Hóa chất,
HC0104,ANTI-HBC IGM ELEC,test,Hóa chất,
HC18050,ANTI-HBC IGM ELEC,test,Hóa chất,
HC0108,ANTI-HBE ELEC,test,Hóa chất,
HC18054,ANTI-HBE ELEC,test,Hóa chất,
HC0100,ANTI-HBS ELEC,test,Hóa chất,
HC18042,Anti-HCV G2 cobas e 100,test,Hóa chất,
HC0096,Anti-HCV G2 cobas e 100,test,Hóa chất,
HC0095,Anti-HCV G2 cobas e 200,test,Hóa chất,
2021HC152,Anti - A,Lọ,Hóa chất,
HC18209,Anti - A,Lọ,Hóa chất,
HC0197,Anti - A,Lọ,Hóa chất,
2020HC83,Anti - A,Lọ,Hóa chất,
2020HC84,Anti - AB,Lọ,Hóa chất,
HC18210,Anti - AB,Lọ,Hóa chất,
2021HC153,Anti - AB,Lọ,Hóa chất,
HC0198,Anti - AB,Lọ,Hóa chất,
2020HC102,Anti HCV,test,Hóa chất,
HC0202,Anti HCV,test,Hóa chất,
2021HC163,Anti HCV,test,Hóa chất,
HC18228,Anti HCV,test,Hóa chất,
VT312,Áo phẫu thuật,Cái,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT230101,Áo phẫu thuật,Chiếc,Vật tư tiêu hao,Hãng SX: Memco/Việt Nam - Việt Nam
NT220013,Áo phẫu thuật dùng 1 lân,Chiếc,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam
NT210059,Áo phẫu thuật dùng 1 lần,Cái,Vật tư tiêu hao,Hãng SX: Việt Nam
NT0158,Áo phẫu thuật dùng 1 lần,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
NT230016,Áo phẫu thuật dùng 1 lần,Cái,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam
VT395,Áo phẫu thuật dùng 1 lần,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
2021HC138,APTT Si L Minus,Hộp,Hóa chất,
2020HC68,APTT Si L Minus,Hộp,Hóa chất,
HC18194,APTT Si L Minus,Hộp,Hóa chất,
HC0154,"ASLO TQ, 150T COBAS C",test,Hóa chất,
HC18100,"ASLO TQ, 150T COBAS C",test,Hóa chất,
VT308,ASSAY TIP/CUP E170,Hộp,Vật tư tiêu hao,Hãng SX: Roche/ Nhật
HC0006,AST,Hộp,Hóa chất,
2020HC19,AST,Hộp,Hóa chất,
HC18145,AST,Hộp,Hóa chất,
2021HC12,AST,Hộp,Hóa chất,
HC0150,"ASTL, 500T COBAS C,/INTEGRA",test,Hóa chất,
HC18096,"ASTL, 500T COBAS C,/INTEGRA",test,Hóa chất,
VT302,Ba Chạc nối dây truyền,Chiếc,Vật tư tiêu hao,Hãng SX: Asimec/Việt Nam
NT0154,Bậc Inox 2 bậc ( Inox 201) KT: 30x30 (VN),Chiếc,Dụng cụ y tế,Hãng SX: Việt Nam
NT0250,Bậc Inox 201 kích thước 40X40cm /VN,Chiếc,Dụng cụ y tế,Hãng SX: Việt Nam
NT230180,Bậc lên xuống 1 bậc,Cái,Dụng cụ y tế,Hãng SX: Hải Hà
NT230181,Bậc lên xuống 2 bậc,Cái,Dụng cụ y tế,Hãng SX: Hải Hà
VT250058,Bàn chải phẫu thuật,Cái,Vật tư tiêu hao,Hãng SX: Greetmed | Nước SX: Trung Quốc
VT250057,Bản cực trung tính dùng cho dao mổ điện,Cái,Vật tư tiêu hao,"Hãng SX: Baisheng Medical Co.,Ltd | Nước SX: Trung Quốc"
NT230179,Bàn đựng dụng cụ - Bàn inox 2 tầng để dụng cụ,Cái,Dụng cụ y tế,Hãng SX: Hải Hà
NT230109,Bàn khám phụ khoa,Chiếc,Thiết bị y tế,Hãng SX: 3A/Việt Nam
TBYT015,"Bàn tip Inox (Inox 201) Kt:400x600mm, cao:800mm, VN",Chiếc,Thiết bị y tế,Hãng SX: Việt Nam
NT230187,Bàn tít (nhỏ),Cái,Dụng cụ y tế,Hãng SX: Hải Hà
NT230185,Bàn tít (to),Cái,Dụng cụ y tế,Hãng SX: Hải Hà
NT230186,Bàn tít (trung),Cái,Dụng cụ y tế,Hãng SX: Hải Hà
VT250002,Băng bột bó các cỡ,Cuộn,Vật tư tiêu hao,"Hãng SX: Anji Sunlight Medical Products Co.,Ltd - Trung Quốc"
VT007,Băng cá nhân cỡ 2cm x 6cm,Miếng,Vật tư tiêu hao,Hãng SX: Urgo/Thái Lan
VT008,"Băng chỉ thị nhiệt hấp ướt 1,2cm x 55m",Cuộn,Vật tư tiêu hao,Hãng SX: B.Braun
NT230090,"Băng cuộn 0,1 x 3m",Cuộn,Vật tư tiêu hao,Hãng SX: An Lành/Việt Nam
VT250018,Băng cuộn 10cm x 5m,Cuộn,Vật tư tiêu hao,Hãng SX: Công ty TNHH Đầu tư và Thương mại An Lành | Nước SX: Việt Nam
VT009,Băng cuộn cỡ 10cm x 3m,Cuộn,Vật tư tiêu hao,Hãng SX: Đại Minh/Việt Nam
TH0265,Băng cuộn y tế 0.09x2.5m,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
NT230060,"Bảng đầu giường ,giường không lỗ",Chiếc,Vật tư tiêu hao,Hãng SX: Minh Hải/Việt Nam
NT230059,"Bảng đầu giường,giường có lỗ",Chiếc,Vật tư tiêu hao,Hãng SX: Minh Hải/Việt Nam
NT230058,"Bảng đầu giường,giường Inox",Chiếc,Vật tư tiêu hao,Hãng SX: Minh Hải/Việt Nam
NT0252,Băng dính cá nhân,Miếng,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
NT210016,Băng dính cá nhân,Miếng,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT210075,Băng dính cá nhân y tế,Miếng,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
NT220089,Băng dính cá nhân y tế - TANAPHAR-Việt Nam,Miếng,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT230019,Băng dính cá nhân y tế UGOTANA (Kích thước: 19mmx72mm ),Miếng,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Tanaphar
TH0001,Băng dính cá nhân y tế URGOTANA SIZE 19mm x 72mm,Miếng,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT250017,"Băng dính cá nhân, kích thước 19x72mm",Cái,Vật tư tiêu hao,Hãng SX: Zhejiang bangli | Nước SX: Trung Quốc
VT230115,Băng dính cuộn vải lụa y tế UGOTANA(KT: 1.25cm x 5m),Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam - Việt Nam
VT230116,Băng dính cuộn vải lụa y tế UGOTANA(KT: 2.5cm x 5m),Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam - Việt Nam
TH0002,"Băng dính cuộn vải lụa y tế URGOTANA KT 1,25cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
NT0243,"Băng dính cuộn vải lụa y tế urgotana kt 2,5cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
TH0193,"Băng dính cuộn vải lụa y tế URGOTANA KT 2,5cm X 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT010,Băng dính Lọại tròn cỡ Ø2cm,Cuộn,Vật tư tiêu hao,Hãng SX: Urgo/Thái Lan
VT210076,"Băng dính lụa 1,25cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT210077,"Băng dính lụa 2,5cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT011,"Băng dính lụa cỡ 2,5cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
TH0194,"Băng dính lụa Silk tape 2,5cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
NT0226,Bảng đo mù màu/VN,Bộ,Dụng cụ y tế,Hãng SX: Việt Nam
VT013,Băng gạc đắp vết thương cỡ 8cm x 10cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
NT0306,Băng keo cá nhân Hansaplast Elastic,Chiếc,Vật tư tiêu hao,Hãng SX: PT.Beierdorf/Indonesia
NT0304,Băng keo cá nhân trong suốt Dokugo ( Zhejiang Huikang Medicinal Articles/China),Miếng,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT324,"Băng keo chỉ thị nhiệt 2,4cmx55mm",Cuộn,Vật tư tiêu hao,Hãng SX: 3M/Canada
NT210022,Băng keo chỉ thị nhiệt hấp ướt,Cuộn,Vật tư tiêu hao,Hãng SX: 3M/Canada
TH0082,Băng keo chỉ thị nhiệt hấp ướt 3M,Cuộn,Vật tư tiêu hao,Hãng SX: Canada
VT014,"Băng keo lụa có độ dính cao cỡ 1,25cm x 5m",Cuộn,Vật tư tiêu hao,Hãng SX: Urgo/Thái Lan
NT260007,Băng keo y tế giấy Urgopore,Hộp,Vật tư tiêu hao,Hãng SX: Urgo/ Thái Lan | Nước SX: Thái Lan
NT260023,Băng keo y tế giấy URGOPORE,Hộp,Vật tư tiêu hao,Hãng SX: Urgo | Nước SX: Thái Lan
NT0115,Bảng kẹp đầu giường,Chiếc,Dụng cụ y tế,Hãng SX: Armephaco
DCYT010,Bảng kẹp đầu giường Inox 201,Chiếc,Dụng cụ y tế,Hãng SX: Việt Nam
VT0348,Băng lụa có độ dính cao 5cmx5m,Cuộn,Vật tư tiêu hao,Hãng SX: Khac
NT230032,Băng mực máy in Godex G500,Băng,Vật tư tiêu hao,Hãng SX: Việt Nam
VT015,Băng mực máy in kim LQ310,Hộp,Vật tư tiêu hao,Hãng SX: Fullmark/Đài Lọan
VT016,"Băng thun 2 móc cỡ 8,5cm x 190cm",Cuộn,Vật tư tiêu hao,Hãng SX: MQ/ Việt Nam
NT230057,"Bảng treo đầu giường,giường khoan trực tiếp",Chiếc,Vật tư tiêu hao,Hãng SX: Minh Hải/Việt Nam
VT017,Băng vải treo tay,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
VT0350,Băng vô trùng 5x7cm,Miếng,Vật tư tiêu hao,Hãng SX: Việt Nam
VT0351,Băng vô trùng 8x10cm,Miếng,Vật tư tiêu hao,Hãng SX: Việt Nam
VT018,"Băng vô trùng trong suốt, không thấm 53mmx80mm(optiskin film)",Miếng,Vật tư tiêu hao,Hãng SX: Optiskin film/Thái Lan
HD22001,Bảng xét nghiệm sàng lọc nhiều loại thuốc (nước tiểu) Multi-Drug Screen Test Panel (Urine) for MOP/AMP/THC/COD/HER,test,Vật tư tiêu hao,
NT250012,Bảng xét nghiệm sàng lọc nhiều loại thuốc (nước tiểu) Multi-Drug Screen test panel (Urine) for MOP/AMP/THC/COD/HER,test,Vật tư tiêu hao,
VT019,Bao cao su,Chiếc,Vật tư tiêu hao,Hãng SX: Pháp
VT210090,Bao cao su,Chiếc,Vật tư tiêu hao,Hãng SX: Công nghệ Cao su Việt Nam/Việt Nam - Việt Nam
TH0195,Bao cao su OK,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
VT020,Bát kền cỡ Ø10cm,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
VT021,Bát kền cỡ Ø8cm,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
NT220023,Bát kền F10,Chiếc,Dụng cụ y tế,Hãng SX: Việt Nam
DCYT033,Bát kền F10,Cái,Dụng cụ y tế,Hãng SX: Việt Nam
NT0278,Bát kền phi 12,Cái,Dụng cụ y tế,Hãng SX: Việt Nam
TH0198,Bay trộn thạch cao nhựa,Cái,Vật tư tiêu hao,Hãng SX: Ấn độ
HC18080,"BIL- T Gen 3, 250T c/I",test,Hóa chất,
HC0135,"BIL-D Gen.2, 350T cobas c",test,Hóa chất,
HC18081,"BIL-D Gen.2, 350T cobas c",test,Hóa chất,
HC0134,"BIL-T Gen.3, 250Tests cobas c,Integra",test,Hóa chất,
NTKH2603,Bình (chai) khí CO2 y tế 10 lít,Chai,Vật tư tiêu hao,Hãng SX: Thanhgas | Nước SX: Việt Nam
NTKH2601,Bình (chai) khí Oxy 10 lít,Chai,Vật tư tiêu hao,Hãng SX: Thanhgas | Nước SX: Việt Nam
NT0045,Bình bơm phun thuốc phòng dịch Model: 3615P,Chiếc,Thiết bị y tế,Hãng SX: Đức
NT210047,Bình bơm phun thuốc phòng dịch. Xuất xứ: Đức. Hãng SX: IGBA Geraetebau GmbH-Model: ES10M,Cái,Thiết bị y tế,Hãng SX: Đức
KH2304,bình Khí CO2(bình 5 lít),Bình,Vật tư tiêu hao,Hãng SX: ThanhGas - Việt Nam
NT0216,Bình nón Duran 100ml/Đức,Cái,Dụng cụ y tế,Hãng SX: Đức
NT0215,Bình nón Duran 50ml/Đức,Cái,Dụng cụ y tế,Hãng SX: Đức
NT220073,Bình nón tam giác 1000ml - Trung Quốc,Chiếc,Vật tư tiêu hao,Hãng SX: Trung Quốc
NT0163,"Bình oxy y tế, Lọại 10 lít",Chiếc,Thiết bị y tế,Hãng SX: Việt Nam
NT0034,Bình tam giác Bộmex MR 100ml,Chai,Dụng cụ y tế,Hãng SX: Trung Quốc
NT0035,Bình tam giác Bộmex MR 250ml,Chai,Dụng cụ y tế,Hãng SX: Trung Quốc
NT0033,Bình tam giác Bộmex MR 500ml,Chai,Dụng cụ y tế,Hãng SX: Trung Quốc
VT0319,Bộ bảo dưỡng (Preventive Maintenance Kit ISE series without TCO2-1 Year),Bộ,Vật tư tiêu hao,Hãng SX: SFRI/Pháp
VT230006,Bộ bơm tiêm sử dụng 1 lần dùng cho máy bơm tiêm điện,Bộ,Vật tư tiêu hao,Hãng SX: Liebel - Flarsheim Company LLC-Mỹ
TH0049,Bộ caThẻter trung tâm 2 nòng,Chiếc,Vật tư tiêu hao,Hãng SX: Pháp
TH0251,Bộ CaThẻter trung tâm 3 nòng,Chiếc,Vật tư tiêu hao,Hãng SX: Pháp
DCYT15,Bộ đặt nội khí quản,Bộ,Dụng cụ y tế,Hãng SX: Pakistan
NT220062,Bộ đặt nội khí quản-Rudolf Riester GmbH-Pakistan,Bộ,Dụng cụ y tế,Hãng SX: Rudolf Riester GmbH/Đức/ Pakistan
NT210012,Bộ đặt nội khí quản 4 lưỡi (Pakistan),Bộ,Dụng cụ y tế,Hãng SX: Pakistan
DCYT011,Bộ đặt nội khí quản nhi,Bộ,Dụng cụ y tế,Hãng SX: Pakistan
VT260086,Bộ dây thở dùng 1 lần,Bộ,Vật tư tiêu hao,"Hãng SX: Ningbo Boya Medical Equipment Co., Ltd/ Trung Quốc | Nước SX: Trung Quốc"
NT240020,Bộ dây thở dùng 1 lần,Bộ,Vật tư tiêu hao,Hãng SX: Ningbo Boya-Trung Quốc - Trung Quốc
NT230166,Bộ dây thở dùng 1 lần,Cái,Vật tư tiêu hao,Hãng SX: NingBộ Bộya-Trung Quốc
NT220063,Bộ dây thở dùng 1 lần-NingBộ Bộya - TQ,Bộ,Vật tư tiêu hao,Hãng SX: NingBộ Bộya-Trung Quốc
TH0108,"Bộ dây thở máy PVC dùng 1 lần, người lớn",Bộ,Vật tư tiêu hao,Hãng SX: Malaysia
VT0015,Bộ dây truyền dịch ECO sử dụng 1 lần kim cánh bướm,Bộ,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT230013,Bộ dây truyền dịch ECO sử dụng 1 lần kim cánh bướm,Bộ,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT260028,Bộ dây truyền dịch Hanomed (Kim tiêm các cỡ ),Bộ,Vật tư tiêu hao,Hãng SX: Công ty CP Tanaphar | Nước SX: Việt Nam
TH0052,Bộ dây truyền dịch không kim cánh bướm,Bộ,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT260081,Bộ dây truyền dịch MPV sử dụng một lần kim cánh bướm,Bộ,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Nhựa y tế Việt Nam/ Việt Nam | Nước SX: Việt Nam
VT0005,Bộ dây truyền dịch sử dụng 1 lần,Bộ,Vật tư tiêu hao,Hãng SX: MPV
NT230094,Bộ dây truyền dịch sử dụng 1 lần,Bộ,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
VT250023,Bộ dây truyền máu ECO,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam | Nước SX: Việt Nam
DCYT009,Bộ dụng cụ cắt chỉ,Bộ,Dụng cụ y tế,Hãng SX: Pakistan
VT022,Bộ dụng cụ phẫu thuật trĩ,Bộ,Vật tư tiêu hao,Hãng SX: Prime/Pakistan
VT0016,BỘ dụng cụ phẫu thuật trĩ,Bộ,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Châu Ngọc Thạch
NT0227,Bộ giá đựng phơi lam inox. Quy cách: 3 cái/bộ (VN),Bộ,Dụng cụ y tế,Hãng SX: Việt Nam
VTTH401,Bộ huyết áp kế đồng hồ kèm tai nghe ALP K2,Bộ,Vật tư tiêu hao,Hãng SX: Nhật Bản
NT0130,Bộ nạo túi nha Kitcurette gracey aluminium handle/Pakistan,Bộ,Dụng cụ y tế,Hãng SX: Pakistan
NT220037,Bộ nong cổ tử cung,Cái,Dụng cụ y tế,Hãng SX: Prime/Pakistan
NT210052,Bộ ốc + ecu máy thái dược liệu,Bộ,Vật tư tiêu hao,Hãng SX: Việt Nam
NT210092,Bộ phân phối khí oxy di động. Model: PMG-M-O2. NXS: Cộng hòa Belarus,Bộ,Thiết bị y tế,Hãng SX: The Republican Unitary Enterprise; Medtechnocenter; Cộng hòa Belarus - Belarus
VT023,Bộ phụ kiện máy điện châm 6 kênh,Bộ,Vật tư tiêu hao,Hãng SX: Việt Nam
VT0343,Bộ phụ kiện máy điện châm hoa đà,Bộ,Vật tư tiêu hao,Hãng SX: Trung Quốc
NT0223,Bộ quần áo phòng dịch An Lành/VN,Bộ,Vật tư tiêu hao,Hãng SX: Việt Nam
NT0009,Bộ quần áo phòng dịch. Xuất xứ: Việt Nam,Bộ,Vật tư tiêu hao,Hãng SX: Việt Nam
VTTHVTTH120919152345,Bộ sát trùng Hydroxit Canxi,Tuýp,Vật tư tiêu hao,Hãng SX: Mediclus/ Hàn Quốc
NT210002,Bộ tháo thụt,Bộ,Dụng cụ y tế,Hãng SX: Steelvi/Việt Nam
VT024,Bộ tháo thụt,Bộ,Vật tư tiêu hao,Hãng SX: Trung Quốc
HCKN.19.02,Bộ thuốc nhuộm Gram,Bộ,Hóa chất,
TH0260,Bô tiểu nam,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
TH0261,Bô tiểu nữ,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
NT0270,Bộ tiểu phẫu 24 chi tiết,Bộ,Vật tư tiêu hao,Hãng SX: Pakistan
VT025,Bộ tiểu phẫu 24 chi tiết,Bộ,Vật tư tiêu hao,Hãng SX: Prime/Pakistan
NT0059,Bộ trang phục chống dịch,Bộ,Vật tư tiêu hao,Hãng SX: Memco/Việt Nam
NT0291,Bộ trang phục phòng chống dịch,Bộ,Vật tư tiêu hao,Hãng SX: Việt Nam
NT210108,Bộ trang phục phòng chống dịch cấp độ 2,Bộ,Vật tư tiêu hao,Hãng SX: Danameco/ Việt Nam
NT240049,Bộ xi lanh 200ml dùng cho máy bơm tiêm điện Optivantage,Bộ,Vật tư tiêu hao,"Hãng SX: Shenzhen Bộon Medical Supply Co.,Ltd"
VT260062,Bộ xi lanh optivan,Bộ,Vật tư tiêu hao,"Hãng SX: Union Medical Shenzhen Co., Ltd/ Trung Quốc | Nước SX: Trung Quốc"
NT0103,Bộ xi lanh OPTIVANTAGE 200ml,Bộ,Vật tư tiêu hao,Hãng SX: Mỹ
VT250030,Bộ xilanh 200ml dùng cho máy bơm cản quang hai nòng,Bộ,Vật tư tiêu hao,"Hãng SX: Shenzhen Antmed Co.,Ltd | Nước SX: Trung Quốc"
VT026,Bôi trơn ống tủy Glyde,Tuýp,Vật tư tiêu hao,Hãng SX: Well-prep/Hàn Quốc
NT230001,Bơm 1 insulin,Cái,Vật tư tiêu hao,"Hãng SX: Promisemed Hangzhou Meditech Co.,Ltd"
VT0002,Bơm 1 insulin,Cái,Vật tư tiêu hao,"Hãng SX: Promisemed Hangzhou Meditech Co., Ltd"
VT0006,Bơm 5ml lấy máu,Cái,Vật tư tiêu hao,Hãng SX: Tanaphar
NT230112,Bơm 5ml lấy máu,Cái,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
VT0010,Bơm 5ml lấy máu 23G,Cái,Vật tư tiêu hao,Hãng SX: Tanaphar
NT230133,Bơm 5ml lấy máu 23G,Cái,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
TH0043,Bơm cho ăn,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
VT210150,Bơm cho ăn 50ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT240029,Bơm cho ăn MPV 50ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
VT0060,Bơm cho ăn MPV 50ml,Cái,Vật tư tiêu hao,Hãng SX: MPV
VT260082,BƠM CHO ĂN MPV 50ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Nhựa y tế Việt Nam/ Việt Nam | Nước SX: Việt Nam
VT260024,Bơm cho ăn sử dụng một lần Tanaphar,Cái,Vật tư tiêu hao,Hãng SX: Công ty CP Tanaphar | Nước SX: Việt Nam
VT210002,"Bơm cho ăn, cỡ 50ml",Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
VT260026,Bơm kim tiêm Insulin,Cái,Vật tư tiêu hao,"Hãng SX: Zhejiang Kindly Medical Devices Co.,Ltd. | Nước SX: Trung Quốc"
VT027,Bơm sử dụng một lần 50ml/cc (cho ăn),Chiếc,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT0135,Bơm thuốc thanh quản,Cái,Dụng cụ y tế,Hãng SX: Pakistan
NT0273,"Bơm tiêm 0,5ml tự khóa",Cái,Vật tư tiêu hao,Hãng SX: Việt Nam - Việt Nam
VT028,Bơm tiêm 50ml/cc không kim (sử dụng cho máy bơm tiêm điện),Chiếc,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
DCYT001,Bơm tiêm áp lực,Chiếc,Dụng cụ y tế,Hãng SX: Pakistan
VT230092,Bơm tiêm ECO sử dụng 1 lần 1ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT0013,Bơm tiêm ECO sử dụng 1 lần 1ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT250001,Bơm tiêm ECO sử dụng một lần 10ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT0062,Bơm tiêm ECO sử dụng một lần 10ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT250012,Bơm tiêm ECO sử dụng một lần 5ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam | Nước SX: Việt Nam
VT210003,Bơm tiêm Insulin 1ml-30G,Cái,Vật tư tiêu hao,Hãng SX: Vinahankook/Việt Nam
VT210151,Bơm tiêm Insulin 1ml-30G,Cái,Vật tư tiêu hao,Hãng SX: Vinahancook/Việt Nam
VT0012,Bơm tiêm insulin HTA sử dụng 1 lần,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
VT230014,Bơm tiêm insulin HTA sử dụng 1 lần,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần nhựa y tế Việt Nam
TH0018,Bơm tiêm MPV 10ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT0268,Bơm tiêm MPV 1ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
TH0044,Bơm tiêm MPV 1ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT0191,Bơm tiêm MPV 1ml,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
TH0019,Bơm tiêm MPV 20ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT0205,Bơm tiêm MPV 50ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
TH0022,Bơm tiêm MPV 50ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT0210,Bơm tiêm MPV 5ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
TH0020,Bơm tiêm MPV 5ml,Cái,Vật tư tiêu hao,Hãng SX: MPV/Việt Nam
NT260015,Bơm tiêm MPV sử dụng một lần 1ml,Chiếc,Vật tư tiêu hao,Hãng SX: MPV | Nước SX: Việt Nam
VT260083,Bơm tiêm MPV sử dụng một lần 50ml,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Nhựa y tế Việt Nam/ Việt Nam | Nước SX: Việt Nam
NT250007,Bơm tiêm nhựa 5ml,Chiếc,Vật tư tiêu hao,Hãng SX: Tanaphar/Việt Nam
