item_code,item_name,uom,item_group,description
HC18114,"Sample Cleaner 1, cobas c",Hộp,Hóa chất,
HC0175,"Sample Cleaner 2, cobas 6000",Hộp,Hóa chất,
HC18115,"Sample Cleaner 2, cobas 6000",Hộp,Hóa chất,
HD02009,"Sample cup 2,5ml - Cốc đựng mẫu 2,5ml",Cái,Vật tư tiêu hao,
VT250060,"Săng mổ 60cm x 80cm (vải không dệt, có lỗ, tiệt trùng)",Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Châu Bảo Thạch | Nước SX: Việt Nam
NT230173,Săng mổ 60cm*80cm,Miếng,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam
NT230172,Săng mổ 60cm*80cm có lỗ,Cái,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam
NT230174,Săng mổ 60cm*80cm lỗ,Miếng,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam
VT259,Săng mổ cỡ 150cm x 150cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT0253,Săng mổ cỡ 150cm x 150cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT210066,Săng mổ có lỗ 60cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Việt Nam
TH0263,Săng mổ có lỗ 60cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Việt Nam
VT260033,Săng mổ có lỗ 60cm x80cm,Cái,Vật tư tiêu hao,Hãng SX: Phúc Hà; Việt Nam | Nước SX: Việt Nam
NT240060,Săng mổ có lỗ 60cmx80cm,Miếng,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam - Việt Nam
VT0254,Săng mổ có lỗ cỡ 120cm x 140cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT260,Săng mổ có lỗ cỡ 120cm x 140cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT0255,Săng mổ có lỗ cỡ 50cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT261,Săng mổ có lỗ cỡ 50cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT0256,Săng mổ có lỗ cỡ 60cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT262,Săng mổ có lỗ cỡ 60cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT210171,Săng mổ không lỗ 60cmx80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
NT240061,Săng mổ không lỗ 60cmx80cm,Miếng,Vật tư tiêu hao,Hãng SX: Phúc Hà/ Việt Nam - Việt Nam
VT263,Săng mổ không lỗ cỡ 120cm x 140cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT0257,Săng mổ không lỗ cỡ 120cm x 140cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT0258,Săng mổ không lỗ cỡ 50cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT264,Săng mổ không lỗ cỡ 50cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT265,Săng mổ không lỗ cỡ 60cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT0259,Săng mổ không lỗ cỡ 60cm x 80cm,Miếng,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VTTH480,Sanosil S010,Thùng,Vật tư tiêu hao,Hãng SX: Việt Nam
VT230004,Sáp parafin,Gam,Vật tư tiêu hao,Hãng SX: Kulun/Trung Quốc - Trung Quốc
NT230124,Sáp Parafin,Gam,Vật tư tiêu hao,Hãng SX: Kunlun - Trung Quốc
NT230126,Sáp Parafin,Gam,Vật tư tiêu hao,Hãng SX: Kunlun - Trung Quốc
TH0034,Sáp Parafin wax,Gam,Vật tư tiêu hao,Hãng SX: Trung Quốc
NT0112,SARS- CoV-2 AntiBộdy Test ( Lateral fLọw Method) Xét nghiệm phát hiện kháng thể kháng Virus SARS-CoV-2 hộp 20 Test ( Hãng SX: Wondfo Biotech,test,Vật tư tiêu hao,Tên đầy đủ: SARS- CoV-2 AntiBộdy Test ( Lateral fLọw Method) Xét nghiệm phát hiện kháng thể kháng Virus SARS-CoV-2 hộp 20 Test ( Hãng SX: Wondfo Biotech/China) | Hãng SX: Wondfo Biotech
VT250033,Sâu máy thở,Cái,Vật tư tiêu hao,Hãng SX: Công ty cổ phần Đất Việt Thành | Nước SX: Việt Nam
HC18207,SD Bioline Dengue Duo (Dengue NS1 Ag + IgG/IgM),test,Hóa chất,
HC18206,SD Bioline Dengue IgG/IgM,test,Hóa chất,
HC18182,Serum Protein Multi-Calibrator 1,Hộp,Hóa chất,
2021HC46,Serum Protein Multi-Calibrator 1,Hộp,Hóa chất,
2020HC53,Serum Protein Multi-Calibrator 1,Hộp,Hóa chất,
HC0040,Serum Protein Multi - Calibrator 1,Hộp,Hóa chất,
HC0173,"SMS, COBAS C",Hộp,Hóa chất,
HC18119,"SMS, COBAS C",Hộp,Hóa chất,
NT0247,Sonde dạ dày 18G,Chiếc,Vật tư tiêu hao,Hãng SX: Việt Nam
TH0159,Sonde dạ dày có nắp 16Fr,Cái,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT230084,Sonde dạ dày có nắp 16Fr,Cái,Vật tư tiêu hao,Hãng SX: Hitec/Trung Quốc
VT0054,Sonde dạ dày có nắp 16Fr,Cái,Vật tư tiêu hao,Hãng SX: Hitec
VT210107,"Sonde dạ dày có nắp, không có nắp các cỡ(Dây cho ăn)",Cái,Vật tư tiêu hao,Hãng SX: Hoàng Sơn/Việt Nam
VT266,Sonde dạ dày số 12-18,Chiếc,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT0260,Sonde dạ dày số 12-18,Chiếc,Vật tư tiêu hao,Hãng SX: Greetmet/Trung quốc
NT0255,Sonde Foley 2 nhánh 14F,Cái,Vật tư tiêu hao,Hãng SX: Trung Quốc
NT0256,Sonde Foley 2 nhánh 16F,Cái,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT210108,Sonde Foley 2 nhánh các số,Cái,Vật tư tiêu hao,Hãng SX: Zhanjiang Star/Trung Quốc
VT267,"Sonde Foley 2 nhánh số 14,16,18",Chiếc,Vật tư tiêu hao,Hãng SX: Idealcare/Malaysia
VT0261,"Sonde Foley 2 nhánh số 14,16,18",Chiếc,Vật tư tiêu hao,Hãng SX: Idealcare/Malaysia
TH0008,Sonde Foley 2 nhánh số 14Fr,Cái,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
TH0215,Sonde Foley 2 nhánh số 16Fr,Cái,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
NT210004,Sonde foley 2 nhánh số 22,Chiếc,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT250035,Sonde Foley 3 nhánh,Cái,Vật tư tiêu hao,"Hãng SX: Hitec Medical Co.,Ltd | Nước SX: Trung Quốc"
VT210109,Sonde Foley 3 nhánh các số,Cái,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT268,"Sonde Foley 3 nhánh số 14,16,18",Chiếc,Vật tư tiêu hao,Hãng SX: Idealcare/Malaysia
VT0262,"Sonde Foley 3 nhánh số 14,16,18",Chiếc,Vật tư tiêu hao,Hãng SX: Idealcare/Malaysia
TH0199,Sonde Foley 3 nhánh số 16Fr,Cái,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT0263,"Sonde hút dịch số 12,14, 16, 18",Chiếc,Vật tư tiêu hao,Hãng SX: Greetmet/Trung quốc
